country_code,region,year,cholera_cases
ZAF,Africa,2009,10520.0
ZAF,Africa,2013,1.0
ZMB,Africa,2000,4504.0
ZMB,Africa,2001,3109.0
ZMB,Africa,2002,339.0
ZMB,Africa,2003,1049.0
ZMB,Africa,2004,12149.0
ZMB,Africa,2005,1503.0
ZMB,Africa,2006,5360.0
ZMB,Africa,2007,2286.0
ZMB,Africa,2008,2061.0
ZMB,Africa,2009,4712.0
ZMB,Africa,2010,6794.0
ZMB,Africa,2011,330.0
ZMB,Africa,2012,198.0
ZWE,Africa,2000,1675.0
ZWE,Africa,2001,650.0
ZWE,Africa,2002,3125.0
ZWE,Africa,2003,1009.0
ZWE,Africa,2004,119.0
ZWE,Africa,2005,516.0
ZWE,Africa,2006,789.0
ZWE,Africa,2007,65.0
ZWE,Africa,2008,60055.0
ZWE,Africa,2009,68153.0
ZWE,Africa,2010,951.0
ZWE,Africa,2011,1220.0
ZWE,Africa,2012,23.0
ZWE,Africa,2015,60.0
ZWE,Africa,2016,10.0
